Id,category,Label
nm0161149,actor,Moo-Song Jeon
nm0668331,actor,George Payne
nm0280132,actor,Peter Fitz
nm0441375,actor,Masahiko Tsugawa
nm0874676,actor,Eric Tsang
nm0818204,actor,Volker Spengler
nm0876256,actor,Peter Tuinman
nm0508085,actor,Johan Leysen
nm0001970,actor,Klaus Maria Brandauer
nm0000905,actor,Roberto Benigni
nm0878957,actor,Stanislaw Tym
nm0468586,actor,Krzysztof Kowalewski
nm0401201,actor,Michael Hui
nm0401207,actor,Samuel Hui
nm0298689,actor,Stanley Sui-Fan Fung
nm0007113,actor,Nana Patekar
nm0004149,actor,Bo Svenson
nm0000230,actor,Sylvester Stallone
nm0683119,actor,Luciano Pigozzi
nm0819825,actor,Ove Sprogøe
nm0344655,actor,Morten Grunwald
nm0120381,actor,Poul Bundgaard
nm0894608,actor,Pierre Vernier
nm0033420,actor,Renzo Arbore
nm0082599,actor,Carl Billquist
nm0000188,actor,Steve Martin
nm0139213,actor,Mario Carotenuto
nm0332052,actor,Thomas Gottschalk
nm0473252,actor,Mike Krüger
nm0001352,actor,Terence Hill
nm0001145,actor,Divine
nm0002147,actor,Tab Hunter
nm0334536,actor,Paolo Gramignano
nm0669549,actor,Jirí Pecha
nm0295506,actor,Colin Friels
nm0018872,actor,Manuel Alexandre
nm0000380,actor,Robert Duvall
nm0436000,actor,Aake Kalliala
nm0378427,actor,Helge Herala
nm0404091,actor,Francis Huster
nm0273508,actor,Freddy Fernández
nm0000616,actor,Eric Roberts
nm0722636,actor,John Rhys-Davies
nm0000653,actor,Brent Spiner
nm0896557,actor,Ivica Vidovic
nm0816296,actor,Fabijan Sovagovic
nm0002025,actor,Hume Cronyn
nm0689866,actor,Gerhard Polt
nm0586733,actor,Rentarô Mikuni
nm0543547,actor,Predrag 'Miki' Manojlovic
nm0001934,actor,Kabir Bedi
nm0904847,actor,Ion Vâlcu
nm0516215,actor,Tony Lo Bianco
nm0420090,actor,Jeetendra
nm0002037,actor,Cliff De Young
nm0259724,actor,Ole Ernst
nm0492649,actor,Bruno Lawrence
nm0604335,actor,Nanni Moretti
nm0352157,actor,Alessandro Haber
nm0000959,actor,Powers Boothe
nm0000601,actor,Harold Ramis
nm0246408,actor,Francisco Díaz 'Frank'
nm0001059,actor,Robbie Coltrane
nm0059695,actor,Jaime Bascu
