Source,Target,Weight
nm0005033,nm0156495,2
nm0005033,nm0157759,2
nm0005033,nm0161275,2
nm0005033,nm0284016,2
nm0005033,nm0298689,3
nm0005033,nm0388367,5
nm0005033,nm0398987,2
nm0005033,nm0482580,8
nm0005033,nm0490489,4
nm0005033,nm0504899,2
nm0005033,nm0516310,2
nm0005033,nm0538353,2
nm0005033,nm0594226,2
nm0005033,nm0628827,4
nm0005033,nm0628877,2
nm0005033,nm0762632,2
nm0005033,nm0874676,3
nm0005033,nm0943138,2
nm0005033,nm0950707,8
nm0005078,nm0212921,2
nm0005202,nm0722636,2
nm0005435,nm0367005,2
nm0006369,nm0438463,3
nm0006498,nm0440480,4
nm0006664,nm0009368,2
nm0006762,nm0438501,2
nm0006762,nm0786022,2
nm0006762,nm0894340,2
nm0006763,nm0007106,2
nm0006763,nm0007113,5
nm0006763,nm0007147,2
nm0006763,nm0149822,2
nm0006763,nm0219939,2
nm0006763,nm0219971,5
nm0006763,nm0412917,2
nm0006763,nm0434318,2
nm0006763,nm0438463,8
nm0006763,nm0451321,2
nm0006763,nm0451425,2
nm0006763,nm0474801,2
nm0006763,nm0474820,2
nm0006763,nm0712546,3
nm0006763,nm0787462,3
nm0006795,nm0434318,2
nm0006795,nm0474820,2
nm0006842,nm0305955,2
nm0006939,nm0105475,2
nm0006939,nm0359894,3
nm0007023,nm0031511,2
nm0007023,nm0162223,3
nm0007023,nm0260330,3
nm0007023,nm0273178,3
nm0007023,nm0307468,2
nm0007023,nm0328020,5
nm0007023,nm0600120,3
nm0007023,nm0654843,2
nm0007023,nm0699909,5
nm0007023,nm0768574,2
nm0007069,nm0138405,2
nm0007106,nm0149822,2
nm0007106,nm0332871,6
nm0007106,nm0434318,4
nm0007106,nm0438463,4
nm0007106,nm0474868,2
nm0007106,nm0643350,2
nm0007139,nm0477108,2
nm0007210,nm0541576,2
nm0007620,nm0008206,2
nm0007746,nm0072768,2
nm0007746,nm0084241,2
nm0007746,nm0147794,2
nm0007746,nm0582074,2
nm0008124,nm0252847,3
nm0008124,nm0711631,2
nm0008206,nm0258168,3
nm0008206,nm0368017,2
nm0008311,nm0246150,2
nm0008311,nm0476814,2
nm0008311,nm0810550,2
nm0008311,nm0946160,2
nm0008311,nm0953982,2
nm0008704,nm0348018,2
nm0009368,nm0479753,2
nm0011058,nm0522287,2
nm0011464,nm0059300,2
nm0011553,nm0059303,2
nm0011990,nm0017133,2
nm0012294,nm0861141,2
nm0012602,nm0029177,2
nm0012602,nm0280802,2
nm0012602,nm0664203,2
nm0013158,nm0149822,2
nm0013171,nm0259301,2
nm0013501,nm0015671,2
nm0013501,nm0020405,2
nm0013501,nm0031217,2
nm0013501,nm0051777,2
nm0013741,nm0084289,2
nm0013741,nm0273538,2
nm0014227,nm0158801,2
nm0014227,nm0161149,2
nm0014558,nm0354653,2
nm0015081,nm0258905,2
nm0016321,nm0035280,2
nm0016321,nm0501288,2
nm0016321,nm0690610,3
nm0016642,nm0084241,3
nm0017062,nm0185504,2
nm0017988,nm0831262,2
nm0018872,nm0328020,2
nm0018872,nm0484376,3
nm0018872,nm0720277,2
nm0018872,nm0764450,2
nm0018931,nm0025777,2
nm0018931,nm0028986,2
nm0019427,nm0149822,2
nm0021193,nm0050781,2
nm0022264,nm0261681,2
nm0022451,nm0275009,2
nm0022658,nm0172635,2
nm0022658,nm0269793,2
nm0022765,nm0328020,2
nm0022765,nm0385860,2
nm0022765,nm0553650,2
nm0022952,nm0469133,2
nm0023693,nm0484397,2
nm0023904,nm0689430,2
nm0024580,nm0578633,3
nm0024580,nm0686375,2
nm0025389,nm0149822,4
nm0025389,nm0197582,2
nm0025630,nm0149822,3
nm0027245,nm0210477,2
nm0027984,nm0126549,2
nm0029158,nm0063273,2
nm0029177,nm0091336,2
nm0029515,nm0029860,2
nm0029962,nm0782213,2
nm0031026,nm0704164,2
nm0031511,nm0144292,2
nm0031511,nm0690303,2
nm0031634,nm0099560,2
nm0032122,nm0579143,2
nm0033740,nm0104790,2
nm0033740,nm0107985,2
nm0034079,nm0045870,2
nm0034079,nm0244707,4
nm0034253,nm0873385,2
nm0034390,nm0105475,2
nm0034725,nm0065007,2
nm0035007,nm0258168,2
nm0037274,nm0043934,2
nm0037372,nm0131008,2
nm0038355,nm0847562,2
nm0040173,nm0249982,2
nm0040173,nm0449404,2
nm0040545,nm0690303,2
nm0040910,nm0256628,2
nm0040910,nm0535332,8
nm0040910,nm0620018,2
nm0040910,nm0793726,9
nm0040910,nm0949069,5
nm0041253,nm0628726,2
nm0042104,nm0932870,2
nm0042800,nm0119725,2
nm0042800,nm0449431,2
nm0042884,nm0933310,2
nm0044796,nm0332871,2
nm0044796,nm0415556,2
nm0044796,nm0434318,3
nm0044796,nm0438463,2
nm0045870,nm0545383,3
nm0045870,nm0719914,2
nm0045937,nm0878155,2
nm0046152,nm0346993,2
nm0046269,nm0844476,2
nm0046894,nm0318622,2
nm0046922,nm0767368,2
nm0047016,nm0155587,2
nm0047016,nm0284608,2
nm0047016,nm0702666,2
nm0047578,nm0486456,3
nm0049121,nm0439586,3
nm0050966,nm0086134,2
nm0050966,nm0165490,2
nm0050966,nm0209209,2
nm0050983,nm0167388,2
nm0051282,nm0246150,2
nm0051282,nm0955671,2
nm0051856,nm0154164,2
nm0051880,nm0290628,2
nm0051880,nm0694843,4
nm0051880,nm0897715,4
nm0051880,nm0899911,4
nm0051984,nm0595115,2
nm0051984,nm0697514,3
nm0051984,nm0970211,2
nm0053230,nm0744599,2
nm0053863,nm0272604,2
nm0055018,nm0055020,2
nm0055549,nm0170550,2
nm0056965,nm0809770,2
nm0057436,nm0671855,2
nm0057825,nm0246822,2
nm0059695,nm0060681,2
nm0059698,nm0865571,3
nm0059847,nm0246150,3
nm0059971,nm0529543,2
nm0060681,nm0305053,4
nm0062353,nm0081547,3
nm0063773,nm0612064,2
nm0066075,nm0451307,2
nm0066133,nm0084402,2
nm0066223,nm0150796,9
nm0066223,nm0150850,3
nm0066223,nm0151155,5
nm0066223,nm0159507,2
nm0066223,nm0490489,3
nm0066223,nm0516319,2
nm0066223,nm0943138,2
nm0067122,nm0440480,2
nm0070987,nm0140649,2
nm0071179,nm0224294,2
nm0072768,nm0147794,2
nm0073221,nm0799108,2
nm0073426,nm0332871,2
nm0073498,nm0960359,2
nm0074101,nm0195750,2
nm0074125,nm0626259,2
nm0074151,nm0690610,3
nm0075003,nm0252473,3
nm0075003,nm0387141,3
nm0075003,nm0489858,3
nm0076523,nm0951420,2
nm0079916,nm0350350,2
nm0080173,nm0415556,2
nm0080445,nm0149822,2
nm0080445,nm0151539,2
nm0081041,nm0881809,2
nm0081547,nm0117632,2
nm0081702,nm0084241,2
nm0082599,nm0433495,2
nm0082653,nm0689057,2
nm0082761,nm0124632,2
nm0083238,nm0223524,2
nm0083238,nm0415556,2
nm0083534,nm0149822,2
nm0084289,nm0896446,2
nm0084360,nm0099084,2
nm0084402,nm0118840,2
nm0084402,nm0296389,2
nm0084402,nm0464945,2
nm0084402,nm0523821,2
nm0084402,nm0668640,3
nm0084402,nm0836136,2
nm0084402,nm0944134,2
nm0086134,nm0209209,3
nm0086134,nm0515697,2
nm0086952,nm0634159,2
nm0087141,nm0092184,2
nm0087141,nm0220908,2
nm0087141,nm0243355,2
nm0087593,nm0580725,3
nm0087992,nm0361570,2
nm0088250,nm0176035,2
nm0088250,nm0630193,2
nm0089877,nm0921713,2
nm0089882,nm0578853,2
nm0090604,nm0096844,2
nm0090604,nm0707618,2
nm0091336,nm0891755,2
nm0092184,nm0301556,2
nm0092184,nm0320762,2
nm0092184,nm0320808,2
nm0092184,nm0399437,2
nm0092184,nm0404091,2
nm0092184,nm0539022,2
nm0092184,nm0547339,2
nm0092482,nm0759685,2
nm0092482,nm0865396,3
nm0092482,nm0957372,2
nm0092592,nm0389109,2
nm0092592,nm0649012,2
nm0092789,nm0131033,2
nm0092789,nm0211565,8
nm0092789,nm0292291,3
nm0092789,nm0339619,4
nm0093585,nm0134073,5
nm0093585,nm0195293,2
nm0093585,nm0290628,2
nm0093585,nm0587401,4
nm0093585,nm0598720,2
nm0094625,nm0657004,2
nm0094625,nm0661118,2
nm0094625,nm0721386,2
nm0094782,nm0644023,2
nm0096844,nm0476814,2
nm0096846,nm0813463,2
nm0097391,nm0104753,2
nm0098734,nm0347656,2
nm0098928,nm0396355,2
nm0098928,nm0479745,2
nm0099084,nm0487022,2
nm0099378,nm0508293,2
nm0099828,nm0132064,3
nm0099828,nm0529591,2
nm0100556,nm0316284,2
nm0102280,nm0151155,2
nm0102280,nm0298689,2
nm0102280,nm0490489,3
nm0102522,nm0784884,2
nm0104790,nm0107985,2
nm0104979,nm0116339,2
nm0104979,nm0252473,2
nm0105475,nm0187337,3
nm0106061,nm0267838,2
nm0108400,nm0508293,2
nm0108539,nm0484397,4
nm0109485,nm0876256,2
nm0111941,nm0937202,2
nm0115730,nm0946179,2
nm0116339,nm0252473,5
nm0116339,nm0348965,6
nm0116339,nm0352195,2
nm0117505,nm0467478,2
nm0119725,nm0126559,2
nm0119725,nm0449431,4
nm0120178,nm0124973,2
nm0120178,nm0395121,2
nm0120381,nm0344655,2
nm0120381,nm0819825,2
nm0120494,nm0261724,2
nm0121007,nm0679466,2
nm0121018,nm0685345,2
nm0121559,nm0233027,2
nm0122050,nm0125909,2
nm0122167,nm0122168,2
nm0122168,nm0509676,2
nm0122653,nm0569458,2
nm0124973,nm0830293,2
nm0126559,nm0449431,2
nm0126960,nm0307468,2
nm0127255,nm0271136,2
nm0127631,nm0622931,2
nm0127631,nm0654843,2
nm0127656,nm0562210,2
nm0128061,nm0128062,2
nm0129004,nm0249982,2
nm0129590,nm0562583,2
nm0130271,nm0490623,2
nm0131033,nm0211565,4
nm0131033,nm0223825,2
nm0131033,nm0339619,2
nm0132064,nm0529591,2
nm0133328,nm0736534,2
nm0134073,nm0694843,2
nm0136789,nm0479772,2
nm0136789,nm0597816,2
nm0136789,nm0868139,4
nm0137728,nm0645327,3
nm0137728,nm0958784,2
nm0138405,nm0301556,2
nm0138405,nm0347453,2
nm0138405,nm0487022,2
nm0139213,nm0899911,4
nm0140649,nm0718704,2
nm0142452,nm0194681,2
nm0142983,nm0328020,2
nm0142983,nm0576327,2
nm0145030,nm0617307,2
nm0145061,nm0408476,2
nm0145061,nm0408600,2
nm0145914,nm0148315,2
nm0145914,nm0174289,2
nm0145914,nm0235551,2
nm0146431,nm0656801,2
nm0147167,nm0217466,2
nm0147592,nm0660266,2
nm0147592,nm0682251,3
nm0147721,nm0524093,2
nm0147721,nm0713999,2
nm0147721,nm0885474,2
nm0147983,nm0599604,3
nm0148041,nm0598720,2
nm0148041,nm0608311,2
nm0148041,nm0865575,2
nm0148393,nm0398703,3
nm0148393,nm0814162,2
nm0148992,nm0544432,2
nm0149260,nm0268543,2
nm0149603,nm0286247,2
nm0149822,nm0159159,3
nm0149822,nm0318622,3
nm0149822,nm0363055,2
nm0149822,nm0411539,2
nm0149822,nm0434318,2
nm0149822,nm0451600,2
nm0149822,nm0613417,2
nm0149822,nm0643350,2
nm0149822,nm0700869,2
nm0149822,nm0787462,2
nm0150400,nm0704044,2
nm0150527,nm0324698,2
nm0150783,nm0490513,2
nm0150796,nm0156434,7
nm0150796,nm0161213,2
nm0150796,nm0232504,2
nm0150796,nm0628756,3
nm0150796,nm0848355,3
nm0150796,nm0874676,2
nm0150796,nm0938893,2
nm0150796,nm0943138,3
nm0150844,nm0304709,2
nm0150844,nm0943138,3
nm0150850,nm0151155,2
nm0150850,nm0156484,2
nm0150850,nm0158605,5
nm0150850,nm0159507,2
nm0150850,nm0161275,2
nm0150850,nm0298689,8
nm0150850,nm0482714,2
nm0150850,nm0490489,6
nm0150850,nm0793384,2
nm0150850,nm0848355,4
nm0150850,nm0874676,3
nm0150850,nm0939147,2
nm0150862,nm0151068,4
nm0150862,nm0151155,3
nm0150862,nm0152054,2
nm0150862,nm0156955,2
nm0150862,nm0490489,2
nm0150862,nm0593711,2
nm0150862,nm0628827,2
nm0150862,nm0762632,2
nm0150862,nm0943138,2
nm0150874,nm0155587,2
nm0150874,nm0266649,2
nm0150887,nm0156484,2
nm0150894,nm0155587,3
nm0150894,nm0158605,2
nm0150894,nm0159474,2
nm0150894,nm0515030,2
nm0150894,nm0874676,2
nm0150940,nm0497642,2
nm0150952,nm0151045,2
nm0150952,nm0155562,2
nm0150973,nm0490513,2
nm0150973,nm0938893,2
nm0150973,nm0945189,3
nm0150987,nm0151045,2
nm0150987,nm0467603,2
nm0150987,nm0875275,2
nm0150987,nm0939255,3
nm0150994,nm0504899,2
nm0151005,nm0151068,2
nm0151005,nm0155587,3
nm0151005,nm0161213,2
nm0151005,nm0482580,4
nm0151068,nm0151155,4
nm0151068,nm0482708,2
nm0151068,nm0628827,4
nm0151068,nm0762632,4
nm0151068,nm0795806,2
nm0151080,nm0155291,2
nm0151080,nm0862479,2
nm0151155,nm0156434,3
nm0151155,nm0156558,2
nm0151155,nm0157748,2
nm0151155,nm0160865,2
nm0151155,nm0298689,3
nm0151155,nm0399070,4
nm0151155,nm0438071,5
nm0151155,nm0490489,4
nm0151155,nm0490623,2
nm0151155,nm0504897,2
nm0151155,nm0504973,3
nm0151155,nm0514998,2
nm0151155,nm0628757,2
nm0151155,nm0793008,4
nm0151155,nm0848903,2
