Id,Label
nm0910737,Sam Wanamaker
nm0039510,Grégoire Aslan
nm0000763,Dana Andrews
nm0956544,Efrem Zimbalist Jr.
nm0449734,John Kerr
nm0457334,Ferenc Kiss
nm0477570,Ferenc Kállai
nm0025871,Agustín de Anda
nm0060692,Aleksey Batalov
nm0691439,Nikola Popovic
nm0119917,Karlo Bulic
nm0674463,Slobodan 'Cica' Perovic
nm0417582,Dusan Janicijevic
nm0203959,Rupert Davies
nm0696481,Robert Preston
nm0164766,Gary Clarke
nm0314347,Dick Gering
nm0712731,Aldo Ray
nm0601476,Kieron Moore
nm0482630,Kau Lam
nm0836789,Siutong So
nm0082200,Bogusz Bilewski
nm0088733,Jerzy Block
nm0086116,Gérard Blain
nm0875237,Yoshio Tsuchiya
nm0598257,Bob Monkhouse
nm0021992,Antonio Almorós
nm0142976,Carlos Casaravilla
nm0173088,Jesús Colomer
nm0000994,Raymond Burr
nm0779429,Ken Scott
nm0245344,Boris Dvornik
nm0851245,Branko Tatic
nm0154164,Soumitra Chatterjee
nm0084435,Chhabi Biswas
nm0770864,Tonny van Schendel
nm0193804,Johnnie Custers
nm0474855,Raaj Kumar
nm0709094,Ward Ramsey
nm0525566,Paul Lukather
nm0730808,Alan Roberts
nm0105475,Claude Brasseur
nm0433461,Hanns Ernst Jäger
nm0717130,Wolfgang Reichmann
nm0627222,Peter Neusser
nm0919010,Heinz Weiss
nm0433512,Stig Järrel
nm0691555,Nils Poppe
nm0194193,Zbigniew Cybulski
nm0814799,Jean Sorel
nm0375570,Gunnar Hellström
nm0617098,Per Myrberg
nm0753062,Georg Rydeberg
nm0369250,Max Haufler
nm0649041,Kazimierz Opalinski
nm0468651,Wladyslaw Kowalski
nm0682935,Ryszard Pietruski
nm0017988,Mija Aleksic
nm0082011,Severin Bijelic
nm0904303,Pavle Vuisic
nm0545580,Tito Novaro
nm0013023,Agha
nm0913758,Wasti
nm0148734,Giuseppe Cerqua
nm0269439,Luigi Favotto
nm0907888,Johnny Walker
nm0223607,Dhumal
nm0000044,Burt Lancaster
nm0447913,Arthur Kennedy
nm0667260,Rogério Paulo
nm0722836,Curado Ribeiro
nm0004496,Van Johnson
nm0001922,Jean-Pierre Aumont
nm0886657,John Van Dreelen
nm0000059,Laurence Olivier
nm0037084,Johannes Arpe
nm0880702,Rudolf Ulrich
nm0775035,Willi Schrade
nm0360889,Joachim Hansen
nm0871729,Noel Trevarthen
nm0250724,Richard Egan
nm0640614,Denis O'Dea
