Id,Label
nm0198072,Joe Dallesandro
nm0531489,Gianni Macchia
nm0586645,Ivan Mikolaychuk
nm0784928,Les Serdyuk
nm0310668,Yaroslav Gavrilyuk
nm0284642,José Fonseca e Costa
nm0345736,João Guedes
nm0764179,Luís Santos
nm0159802,Jesper Christensen
nm0712513,Kurt Ravn
nm0476828,Anatoliy Kuznetsov
nm0684941,Thomas Piper
nm0363615,Raimund Harmstorf
nm0437638,Kang Peng
nm0156449,Chi-Ping Chang
nm0159027,Billy Chong
nm0369129,Chiu-Sing Hau
nm0490623,Dan Lau
nm0562056,Martin May
nm0559752,Dietrich Mattausch
nm0001321,Richard Harris
nm0000577,George Peppard
nm0051365,Lajos Balázsovits
nm0190691,György Cserhalmi
nm0304839,Dezsö Garas
nm0742953,Djoko Rosic
nm0940919,Edward Woodward
nm0860233,Jack Thompson
nm0914113,John Waters
nm0000986,Bryan Brown
nm0402730,Bill Hunter
nm0696463,Michael Preston
nm0245610,Rune Dybedahl
nm0901577,Anders Volle
nm0619938,Tatsuya Nakadai
nm0996374,Teruhiko Aoi
nm0605662,Hisaya Morishige
nm0127068,Axel Böhmert
nm0250828,Jakob Eger
nm0001056,Dabney Coleman
nm0700869,Amrish Puri
nm0700875,Om Puri
nm0946840,Ahmad Yatim
nm0713604,Rahim Razali
nm0785177,Ahmad Tarmimi Serigar
nm0356448,Dieter Hallervorden
nm0547462,Jacques Marin
nm0499718,Manfred Lehmann
nm0623216,Juan Carlos Naya
nm0837517,Hiroshi Sugita
nm0001332,Robert Hays
nm0000558,Leslie Nielsen
nm0000717,Kareem Abdul-Jabbar
nm0644819,Hubert Ogunde
nm0051851,Satya Banerjee
nm0080361,Radhamohan Bhattacharya
nm0154122,Dhritiman Chatterjee
nm0223523,Dilip Dhawan
nm0844810,Alfonso Sánchez
nm0185568,Buster Crabbe
nm0447044,George Kelsey
nm0018544,Keith Alexander
nm0792996,Vladek Sheybal
nm0001233,Robert Forster
nm0415591,Dean Jagger
nm0069711,Lucas Belvaux
nm0138405,Jean Carmet
nm0001922,Jean-Pierre Aumont
nm0836681,Jean-François Stévenin
nm0000458,William Hurt
nm0000837,Bob Balaban
nm0354024,Charles Haid
nm0700803,Edmund Purdom
nm0210235,Carlo De Mejo
nm0327186,George Gonce
nm0000152,Richard Gere
nm0001185,Hector Elizondo
nm0608311,Gastone Moschin
nm0105319,Willy Braque
nm0313897,Hubert Géral
nm0775304,Charlie Schreiner
nm0864392,Alain Tissier
nm0071157,Alphonse Beni
nm0029256,Jean-Pierre Andréani
nm0872436,Martin Trévières
nm0002145,Trevor Howard
nm0285795,Mick Ford
nm0899403,Henri Virlojeux
nm0000821,Amitabh Bachchan
nm0451166,Amjad Khan
nm0244884,Utpal Dutt
nm0000142,Clint Eastwood
nm0507212,Geoffrey Lewis
nm0810342,William Smith
nm0768334,John Saxon
nm0518422,Giovanni Lombardo Radice
nm0319597,George Gilmour
nm0522270,Allan Love
nm0865575,Ugo Tognazzi
nm0148195,Edson Celulari
nm0149585,Walmor Chagas
nm0345427,Gianfrancesco Guarnieri
nm0374362,Gerd Udo Heinemann
nm0205555,Thomas Davis
nm0000044,Burt Lancaster
nm0383693,Emilio Higuera
nm0210040,Paolo de Manincor
nm0192685,Giuseppe Curia
nm0007746,Diego Abatantuono
nm0643647,Andrea Occhipinti
nm0215770,Duilio Del Prete
nm0690761,Cochi Ponzoni
nm0215755,Enrique del Pozo
nm0260330,Luis Escobar
nm0000842,Martin Balsam
nm0952972,Giancarlo Zanetti
nm0000032,Charlton Heston
nm0025193,Raouf Ben Amor
nm0956943,Mohamed Zinet
nm0508578,Ziyu Li
nm0371440,David N. Haynes
nm0481994,Trevor Laird
nm0739296,Victor Romero Evans
nm0100598,Brian Bovell
nm0307316,Art Garfunkel
nm0001186,Denholm Elliott
nm0008704,Joe Abeywickrama
nm0002009,Arthur C. Clarke
nm0223504,David Dharmakirthi
nm0150985,Kwok-Kuen Chan
nm0190667,László Csendes
nm0395816,Péter Horváth
nm0000336,James Coburn
nm0001725,Omar Sharif
nm0000310,Bruce Boxleitner
nm0399070,Yue Wong
nm0937266,Tiet Wo Chu
nm0155572,Kang-Yeh Cheng
nm0004462,Jean-Louis Trintignant
nm0105475,Claude Brasseur
nm0249733,Anders Edvinsson
nm0293025,Kent Ivar Fredriksson
nm0296925,Tomas Fryk
nm0386335,Ingvar Hirdwall
nm0014062,Börje Ahlstedt
nm0473322,Kuan-Chung Ku
nm0270495,Fei Ai
nm0791461,Shen Chan
nm0583955,Miao Ching
nm0473314,Feng Ku
nm0001816,Robert Vaughn
nm0001796,Richard Thomas
nm0196723,Hans Dagelet
nm0381211,Carol van Herwijnen
nm0753948,Han Römer
nm0891623,Jack Vecht
nm0616034,Tuccio Musumeci
nm0064980,John C. Becher
nm0304000,James Gammon
nm0178804,Harro Coppens
nm0886625,Patrick van Doorn
nm0957193,Hanns Zischler
nm0454280,Wolfgang Kinder
nm0200599,Michael Dante
nm0586862,Mario Milano
nm0376101,David Hemmings
nm0362970,John Hargreaves
nm0058181,Tony Barry
nm0761809,Martyn Sanderson
nm0273077,Don Fernando
nm0249892,Paul Thomas
nm0468651,Wladyslaw Kowalski
nm0911976,Zdzislaw Wardejn
nm0001207,José Ferrer
nm0538683,Mako
nm0001511,Lee Marvin
nm0000434,Mark Hamill
nm0001019,Robert Carradine
nm0223738,Bobby Di Cicco
