Source,Target,Label,Weight
nm0000314,nm0307257,tt0082250,4
nm0409757,nm0760650,tt0082261,3
nm0685034,nm0784773,tt0082264,3
nm0336075,nm0784773,tt0082264,3
nm0106394,nm0685034,tt0082264,3
nm0336075,nm0685034,tt0082264,3
nm0497097,nm0794827,tt0082267,3
nm0218843,nm0889513,tt0082275,3
nm0150985,nm0159201,tt0082299,3
nm0332417,nm0911285,tt0082307,3
nm0408076,nm0644523,tt0082313,3
nm0329715,nm0438854,tt0082318,3
nm0265853,nm0693625,tt0082320,4
nm0000118,nm0000621,tt0082340,4
nm0000118,nm0000587,tt0082340,5
nm0001569,nm0116145,tt0082350,6
nm0728271,nm0953301,tt0082364,4
nm0939236,nm0939351,tt0082368,4
nm0135339,nm0581103,tt0082376,4
nm0000549,nm0322515,tt0082398,3
nm0000549,nm0537363,tt0082398,3
nm0000549,nm0933865,tt0082398,3
nm0000549,nm0001220,tt0082398,3
nm0322515,nm0537363,tt0082398,5
nm0322515,nm0933865,tt0082398,5
nm0001220,nm0322515,tt0082398,5
nm0537363,nm0933865,tt0082398,5
nm0001220,nm0537363,tt0082398,5
nm0001220,nm0933865,tt0082398,5
nm0167195,nm0636280,tt0082399,4
nm0051880,nm0897715,tt0082407,4
nm0542124,nm0897715,tt0082407,4
nm0051880,nm0661345,tt0082407,3
nm0542124,nm0661345,tt0082407,3
nm0210701,nm0246822,tt0082408,5
nm0078760,nm0210701,tt0082408,5
nm0038238,nm0252473,tt0082423,3
nm0140643,nm0772522,tt0082429,3
nm0545383,nm0785664,tt0082436,3
nm0139536,nm0144758,tt0082451,7
nm0093585,nm0491290,tt0082455,3
nm0155291,nm0862479,tt0082462,3
nm0006939,nm0359894,tt0082471,3
nm0002178,nm0359894,tt0082471,4
nm0359894,nm0494378,tt0082471,3
nm0359894,nm0756696,tt0082471,4
nm0002178,nm0006939,tt0082471,5
nm0006939,nm0494378,tt0082471,3
nm0006939,nm0756696,tt0082471,5
nm0002178,nm0494378,tt0082471,3
nm0002178,nm0756696,tt0082471,6
nm0000568,nm0001345,tt0082474,4
nm0001345,nm0324397,tt0082474,3
nm0000568,nm0324397,tt0082474,3
nm0000269,nm0102722,tt0082484,4
nm0477108,nm0482614,tt0082485,3
nm0007139,nm0477108,tt0082485,4
nm0538353,nm0874676,tt0082485,6
nm0007139,nm0874676,tt0082485,3
nm0000587,nm0384185,tt0082495,3
nm0320808,nm0435726,tt0082510,3
nm0441955,nm0755974,tt0082528,5
