Id,category,Label
nm0131849,director,Jaime Camino
nm0345549,writer,Román Gubern
nm0449404,actor,Robert Kerman
nm0685194,actor,Perry Pirkanen
nm0053230,actor,Luca Barbareschi
nm0219959,director,Ruggero Deodato
nm0166405,writer,Gianfranco Clerici
nm0824216,writer,Giorgio Stegani
nm0166986,actor,Al Cliver
nm0288330,actor,Jérôme Foulon
nm0698779,director,Francesco Prosperi
nm0210811,writer,Jean Rollin
nm0811913,actor,César Sobrevals
nm0305955,actor,Andrés García
nm0136551,actor,René Cardona III
nm0274473,actor,Pablo Ferrel
nm0136552,director,René Cardona Jr.
nm0243200,actor,Ángel Dupeyrón
nm0657426,actor,Fernando Palavicini
nm0398703,actor,Rudolf Hrusínský
nm0436444,actor,Jerzy Kamas
nm0904706,director,Otakar Vávra
nm0135015,writer,Karel Capek
nm0815614,writer,Jirí Sotola
nm0240638,actor,Jacques Dufilho
nm0167388,actor,François Cluzet
nm0494527,actor,Paul Le Person
nm0001031,director,Claude Chabrol
nm0375121,writer,Pierre-Jakez Hélias
nm0099429,writer,Daniel Boulanger
nm0071249,actor,Manuel de Benito
nm0017358,actor,Ángel Alcázar
nm0328020,actor,Agustín González
nm0140296,director,Gil Carretero
nm0145626,writer,Luis Castro
nm0768574,actor,José Sazatornil
nm0022264,actor,Rafael Alonso
nm0273178,director,Fernando Fernán Gómez
nm0010508,writer,Esmeralda Adam García
nm0749597,writer,Manuel Ruiz Castillo
nm0929509,director,Tadeusz Wilkosz
nm0054677,writer,Albert Barillé
nm0677612,actor,Víctor Petit
nm0580853,actor,Ricardo Merino
nm0013706,director,Javier Aguirre
nm0380543,writer,Eligio Herrero
nm0022765,actor,Héctor Alterio
nm0225185,actor,Daniel Dicenta
nm0148992,actor,José Manuel Cervino
nm0592636,director,Pilar Miró
nm0692491,writer,Juan Antonio Porto
nm0539263,writer,Lola Salvador
nm0554937,director,Augusto Martínez Torres
nm0385860,actor,Joaquín Hinojosa
nm0689260,actor,Luis Politti
nm0105502,director,Enrique Brasó
nm0161621,director,Jaime Chávarri
nm0169358,director,Emma Cohen
nm0173101,director,Fernando Colomo
nm0305610,director,Jesús García de Dueñas
nm0591931,director,Carles Mira
nm0012033,actor,Martín Adjemián
nm0095952,actor,José Luis Borau
nm0217079,actor,Teo Delgado
nm0210928,director,Emiliano De Pedraza
nm0005700,director,Teo Escamilla
nm0349426,director,Manuel Gutiérrez Aragón
nm0037274,actor,Miguel Arribas
nm0692475,director,Juan José Porto
nm0699962,writer,Carlos Puerto
nm0145061,actor,Eric del Castillo
nm0408600,actor,Pedro Infante Jr.
nm0302143,director,Alejandro Galindo
nm0308914,writer,Rodolfo Garza Bernal
nm0007698,actor,Boleslaw Abart
nm0275360,actor,Edmund Fetting
nm0805752,director,Wladyslaw Slesicki
nm0059303,actor,Jirí Bartoska
nm0904562,actor,Ivan Vyskocil
nm0693140,actor,Ladislav Potmesil
nm0890618,actor,Marcel Vasinka
nm0815784,director,Jaroslav Soukup
nm0000024,actor,John Gielgud
nm0786614,actor,Andrzej Seweryn
nm0162118,actor,Jan Ciecierski
nm0906667,director,Andrzej Wajda
nm0452782,writer,Andrzej Kijowski
nm0579546,actor,Yuen Man Meng
nm0950757,actor,Wah Yuen
nm0911023,actor,Sha Wang
nm0346640,director,Chih-Hung Kuei
nm0648505,writer,On Szeto
nm0593369,actor,Gordon Mitchell
nm0864081,actor,Gabriele Tinti
nm0828438,actor,Haris Tryfonas
nm0590474,director,Ilias Mylonakos
nm0716577,actor,Serge Reggiani
nm0000728,actor,Mario Adorf
nm0257992,director,Robert Enrico
nm0156686,writer,François Chevallier
nm0240688,writer,Hortense Dufour
nm0239438,actor,Julien Dubois
nm0880773,actor,Alexandre Ulysse
nm0051111,actor,Jean Balsamo
nm0239381,director,Bernard Dubois
nm0074966,director,Sergio Bergonzelli
nm0211922,actor,Anthony Steffen
